videoId,title,channel,comment,sentiment
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,한동훈대표님께 감사해야합니다,긍정
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,새로운 모습을 보았습니다 기적이 일어날거라 봅니다,긍정
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,아이구 답답,부정
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,뭔 권영세 한테 감사하나요~ 화가나네요~ 한동훈님  이 얼마나 바로잡기위해  애썼는데요~~,부정 (화가 난 감정이 드러나는 내용)
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,어떻게 해야 할지 모르는 군 왜 어떻게 할 것인지 말해야지,부정
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,"결국 이리될거면서
생난리다진짜~",부정
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,동지동지  그말좀 그만빼라,부정
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,내귀에는 딱딱 거리는 소리만 들리네요ㅎ,부정
Cx8MeN9iG9E,"김문수, 대선 후보 등록! “기적이 일어났다”… 한덕수 전 총리와 만날 예정",팩트스팟FactSpot,"하룻밤이 불안한 당~
하룻밤이 불안한 나이~~",부정
Cx8MeN9iG9E,"김문수, 대선 후보 등록! “기적이 일어났다”… 한덕수 전 총리와 만날 예정",팩트스팟FactSpot,승리절대못한다,부정 (Negative)
iDBEVaw7mBI,#리셋코리아 #대선후보등록#김문수 대통령 후보,MARS,승리합시다.자유민주주의 체재 수호 못하면 베네주엘라 직행입니다.,부정
n7Ykax92B0I,"#김문수, 선관위 후보등록…""반드시 당선돼 위대한 나라 만들 것""""당원 투표, 놀라운 기적 일어나…한덕수, 잘 모시겠다""지도부 책임론에 ""선거 며칠 안남아 화합해야, 빅텐트 중요",바람소리 : 진거무선,힘내세요,긍정
n7Ykax92B0I,"#김문수, 선관위 후보등록…""반드시 당선돼 위대한 나라 만들 것""""당원 투표, 놀라운 기적 일어나…한덕수, 잘 모시겠다""지도부 책임론에 ""선거 며칠 안남아 화합해야, 빅텐트 중요",바람소리 : 진거무선,"뭐 하나 자연스럽지 않은 등록ᆢ
오물통속 등록ᆢ",부정 (부정적인 감정을 표현하고 있음)
