videoId,title,channel,pub_date,counts,likes_count,comment_count,url
e2lLTFTaltY,🔴LIVE 김문수 국민의힘 대통령후보 등록 / 이 시각 중앙선관위 / 25.5.11 / KNN,KNN NEWS,2025-05-11T05:20:24Z,7396,272,0,https://www.youtube.com/watch?v=e2lLTFTaltY
Ipw5WoqfnP4,"김문수, 대선후보 등록 완료…한덕수 측 “결과에 승복” #김문수 #한덕수 #대선",모든이슈,2025-05-11T05:16:35Z,225,3,0,https://www.youtube.com/watch?v=Ipw5WoqfnP4
B5x0zXapa3o,🔴국민의힘 김문수 후보직 복귀..대통령 후보 등록 | SBS 실시간 LIVE,SBS 뉴스,2025-05-11T05:14:34Z,11515,144,0,https://www.youtube.com/watch?v=B5x0zXapa3o
lqhhlcxUdU0,"후보직 복귀 국민의힘 김문수 후보, 선관위에 대선후보 등록 - [끝까지LIVE] 2025년05월11일",MBCNEWS,2025-05-11T05:13:30Z,248343,3078,6,https://www.youtube.com/watch?v=lqhhlcxUdU0
C3PHdLrRr8U,"선관위 직접 찾아 후보등록 마친 김문수 ""선관위, 제일 좋은 위치""",뉴시스,2025-05-11T05:08:59Z,461,11,1,https://www.youtube.com/watch?v=C3PHdLrRr8U
P1hELRLPDfk,"[속보] 국민의힘 김문수, 선관위 후보등록 완료 '기호 2번' #김문수 #장동혁 #박대출 #한덕수 #윤석열 #국민의힘 #대선",4컷정치,2025-05-11T04:55:56Z,3416,100,0,https://www.youtube.com/watch?v=P1hELRLPDfk
LQlC_9P4Vaw,"김문수, 후보 등록...이재명·이준석과 대선 레이스 / YTN", YTN,2025-05-11T04:34:59Z,3877,45,56,https://www.youtube.com/watch?v=LQlC_9P4Vaw
eyXo_xW4zY8,김문수 후보등록 완료 이재명잡으러 간다,요즘 정치,2025-05-11T04:30:14Z,1180,11,2,https://www.youtube.com/watch?v=eyXo_xW4zY8
y7IdqQjrgKE,"[다시보기] 당원투표서 변경 부결, 김문수 후보 등록│2025년 5월 11일 뉴스A 라이브",채널A News,2025-05-11T04:21:59Z,16965,330,9,https://www.youtube.com/watch?v=y7IdqQjrgKE
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,2025-05-11T04:05:47Z,1912,158,14,https://www.youtube.com/watch?v=2NcIw1Ow3ss
dnEa11ahuxo,"대선 판도 뒤흔드는 김문수, 등록과 갈등의 종지부! 김문수 대선 후보 등록 소식!",생생정보,2025-05-11T04:04:06Z,945,9,0,https://www.youtube.com/watch?v=dnEa11ahuxo
