videoId,title,channel,pub_date,counts,likes_count,comment_count,url
hfZ39muIL40,민주당 이재명 대선 후보 전남 해남 방문 현장에서,이장TV,2025-05-11T05:31:51Z,5096,205,0,https://www.youtube.com/watch?v=hfZ39muIL40
ILz2iRuw9hI,이재명 골목골목 경청투어[더불어민주당] 전남 강진군 사의재 방문,뉴스프리즘,2025-05-11T05:14:03Z,2,1,0,https://www.youtube.com/watch?v=ILz2iRuw9hI
MoYv9m2pk2c,🔴LIVE 이재명 사의재 방문 - 전남 강진군 / 25.5.11 / KNN,KNN NEWS,2025-05-11T05:06:30Z,321,19,2,https://www.youtube.com/watch?v=MoYv9m2pk2c
6S5td3jUGmk,"[🔴라이브를 켜라] 이재명, 전남 강진군 경청투어…'정약용 유배지' 사의재 방문 / 채널A",채널A News,2025-05-11T03:56:16Z,2494,19,4,https://www.youtube.com/watch?v=6S5td3jUGmk
vcYoF0eZDBY,"[생중계] '경청투어' 이재명 민주당 대선 후보, 전남 사의재 방문 (2025.05.11 오후)",오마이TV,2025-05-11T03:57:04Z,13011,1172,13,https://www.youtube.com/watch?v=vcYoF0eZDBY
8xsUr0NsvmI,"《이재명 “내란당, 내란후보 옹립”…국힘 비판하며 경남 민심 집중 공략》",애국청년TV,2025-05-11T03:41:19Z,479,10,1,https://www.youtube.com/watch?v=8xsUr0NsvmI
6u-NxRiBJ2Y,🔴[LIVE] 더불어민주당 이재명 대선 후보 전남 강진·해남·영암군 방문 / '텃밭' 전남서 경청투어 마무리 25.05.11 | MBN NEWS,MBN News,2025-05-11T03:38:23Z,826,25,0,https://www.youtube.com/watch?v=6u-NxRiBJ2Y
8lL3jgEkNkw,이재명 '경청투어' 전남서 마무리…'민주당 텃밭' 표심 다진다 / JTBC News,JTBC News,2025-05-11T03:24:36Z,1483,164,15,https://www.youtube.com/watch?v=8lL3jgEkNkw
zPrFJ3BEEuk,민주당 이재명 대선 후보 전남 강진 방문 현장에서,이장TV,2025-05-11T03:11:05Z,87903,149,0,https://www.youtube.com/watch?v=zPrFJ3BEEuk
TZCJmZUkl3U,이재명 후보 방문 전남 화순 시내 마비 현장 #이재명 #진짜대한민국 #이제는이재명 #경청투어,미디어쇼츠 ,2025-05-11T02:08:08Z,6874,620,21,https://www.youtube.com/watch?v=TZCJmZUkl3U
tsFaq-iVXwM,이재명후보골목경청투어전남화순방문25.5.11일오전10시,7학년,2025-05-11T01:27:47Z,29707,47,1,https://www.youtube.com/watch?v=tsFaq-iVXwM
g4YnBjABSQU,"[🔴속보] 공식 선거운동 하루 앞두고 이재명 전남 방문｜""특정인 위한 쿠데타"" 국힘 후보 교체 사태 맹폭/ 연합뉴스TV(YonhapnewsTV)",연합뉴스TV,2025-05-11T01:19:47Z,2807,27,1,https://www.youtube.com/watch?v=g4YnBjABSQU
_ltBLclL5g8,"(라이브) 이재명 대선 후보 ""정책에는 편가르기 없어야..""경청투어 - 전남 사의재 방문 | 05월 11일",굿모닝충청TV,2025-05-11T01:07:44Z,407,137,0,https://www.youtube.com/watch?v=_ltBLclL5g8
6cc0ZrRdK2I,민주당 이재명 대선 후보 전남 화순 방문 현장에서,이장TV,2025-05-11T01:02:25Z,67323,131,0,https://www.youtube.com/watch?v=6cc0ZrRdK2I
a1bR4FJUuC4,🔴[LIVE] 더불어민주당 이재명 대선 후보 전남 화순군 방문 / '텃밭' 전남서 경청투어 마무리 25.05.11 | MBN NEWS,MBN News,2025-05-11T00:53:15Z,1331,27,15,https://www.youtube.com/watch?v=a1bR4FJUuC4
YmKLNmm-gms,"[🔴LIVE] 이재명, 민주의 밭 전남 방문! 화순부터 찾아갑니다~! | 25.05.11",전주MBC News,2025-05-11T00:47:58Z,1679,112,0,https://www.youtube.com/watch?v=YmKLNmm-gms
_pTr3s6fuc8,공식 선거운동 하루 앞두고 이재명 전남 방문 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,2025-05-10T22:19:00Z,586,7,3,https://www.youtube.com/watch?v=_pTr3s6fuc8
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145,191,117,https://www.youtube.com/watch?v=nuZsgv3_6us
zpN7_a5Fzwc,"[#이재명 LIVE] 민주주의의 심장, 호남에서 여는 진짜 대한민국",이재명,2025-04-26T08:39:12Z,129390,18450,345,https://www.youtube.com/watch?v=zpN7_a5Fzwc
ON_xDB-M5nI,[LIVE] 이재명 전남 농업기술원 방문 (25.04.25),바바비디오,2025-04-25T14:35:11Z,67,5,0,https://www.youtube.com/watch?v=ON_xDB-M5nI
tC1UJTgarjo,이재명 대선후보 전남 농업기술원 방문,바하달사TV,2025-04-25T13:09:23Z,195,59,2,https://www.youtube.com/watch?v=tC1UJTgarjo
0Cn60NZIees,이재명 대통령(진) 나주도착!농업기술원 입장ㅎ,황기자,2025-04-25T12:07:49Z,248707,15282,367,https://www.youtube.com/watch?v=0Cn60NZIees
AWNHdA7GVf0,민주당 주자들 호남행…이재명 “비상계엄 극복은 빛의 혁명”,KBS NEWS 광주전남,2025-04-25T01:15:27Z,4864,58,0,https://www.youtube.com/watch?v=AWNHdA7GVf0
78mgHHxdP2g,"이재명 ""전남·전북에 국립의대 설립""…'양김'도 일제히 호남 공략 [굿모닝 MBN]",MBN News,2025-04-25T00:54:19Z,1554,18,11,https://www.youtube.com/watch?v=78mgHHxdP2g
RqTnPUZMWec,'5·18 성지' 찾은 이재명‥주말 호남의 선택은? (2025.04.25/뉴스투데이/MBC),MBCNEWS,2025-04-24T21:26:03Z,4246,180,41,https://www.youtube.com/watch?v=RqTnPUZMWec
cKqpDKF9xqE,민주당 주자들 호남행…이재명 “비상계엄 극복은 빛의 혁명” / KBS  2025.04.24.,KBS NEWS 광주전남,2025-04-24T10:20:14Z,38,0,0,https://www.youtube.com/watch?v=cKqpDKF9xqE
Wx5J2pAI8-8,[다시보기] 민주당 이재명 캠프 기자회견-4월 24일 (목) 풀영상 [이슈현장] / JTBC News,JTBC News,2025-04-24T07:38:57Z,52157,3579,66,https://www.youtube.com/watch?v=Wx5J2pAI8-8
G38B8PibCmo,김경수 첫 방문...김동연.이재명도 예정,JTV뉴스,2025-04-22T12:12:57Z,633,9,0,https://www.youtube.com/watch?v=G38B8PibCmo
dBVnKLYv-TU,"[현장영상] ""부산에 옮기겠다"" 깜짝 발표 '부울경' 이재명 캠프 공약은.. / JTBC News",JTBC News,2025-04-18T00:55:00Z,622928,20751,6366,https://www.youtube.com/watch?v=dBVnKLYv-TU
jCw1Hx5zIJU,"[현장영상] ""좀 더 생각정리 필요, 다만"" '파격 공약' 이재명 밝힌 입장 / JTBC News",JTBC News,2025-04-17T03:42:12Z,203793,5951,1393,https://www.youtube.com/watch?v=jCw1Hx5zIJU
IWmkhmO6108,닻 올린 이재명 싱크탱크..광주·전남 인사 대거 참여 / KBC뉴스,KBC 뉴스,2025-04-16T12:50:26Z,65092,1457,139,https://www.youtube.com/watch?v=IWmkhmO6108
4e5Aci3e2i8,김문수의원 장윤선인터뷰 킨텍스방문 전남도당 지방의원 이재명 대통령 정권창출 지역위회장단 회의 #김문수 #순천 #이재명 #대통령 #정권교체 #인터뷰 #전남 #민주당 #지방의회,더민주짱,2025-04-09T20:44:06Z,1043,8,2,https://www.youtube.com/watch?v=4e5Aci3e2i8
xkx3GPaj1QY,"대선 출마 김두관 광주 방문 ""이재명 압도적 승리 장담 못해"" / KBC뉴스",KBC 뉴스,2025-04-08T12:05:06Z,395,6,17,https://www.youtube.com/watch?v=xkx3GPaj1QY
DibTJir7HIE,담양장날에서 깍두기 맛나게 드시는 이재명 대표님 #이재명담양유세 #이재종담양군수후보 #담양시장방문 #중앙공원유세 #민주당집중유세#전남담양소식#담양정치현장 #담양민심 #이재명현장방문,바른소리TV,2025-03-22T20:24:32Z,49222,2610,15,https://www.youtube.com/watch?v=DibTJir7HIE
